Parameter,Coefficient
(Intercept),0.1
W_1, 1
A2_1,0.3
A2_2,0.35
A2_3,0.4
A2_1:A2_2,-0.3
A2_1:A2_3,-0.3
A2_2:A2_3,-0.4
