Parameter,Coefficient
A2_0,0.1
A2_1,0.25
A2_2,0.3
A2_3,0.25
A2_1:W_1, 0.2
A2_2:X_1, 0.15
A2_3:X_2, 0.2
A2_1:A2_2,-0.15
A2_1:A2_3,-0.15
A2_2:A2_3,-0.15
