Parameter,Coefficient
X_3,-0.225
A2_0,0.1
A2_1,0.3
A2_2,0.25
A2_0:W_1, 0.2
A2_1:X_1, 0.15
A2_2:X_2, 0.2
A2_1:A2_2, -0.15
