Parameter,Coefficient
X_2,0.25
X_3,-0.25
A2_0,0.1
A2_1,0.25
A2_2,0.3
A2_3,0.4
A2_3:X_1, 0.3
A2_1:A2_2,-0.1
A2_1:A2_3,-0.1
A2_2:A2_3,-0.1
A2_0:A2_1,0
A2_0:A2_2,0
A2_0:A2_3,0
